"Unnamed: 0","id1","text1","id2","text2","id3","text3","id4","text4","H28対応項目","第4層","第3層","診療科","診療科第3層","症候","行き先がないID","他へ","メモ","参考(以前の入力)"
1231.0,"F","診療の基本","F-01","症候・病態からのアプローチ","F-01-01","発熱","F-01-01-na","なし","F-01-01-na-01","発熱の原因と病態生理を説明できる。","","","","病態生理","","","臨床推論に主要な症候の病態生理・診断の要点・専門的治療が必要な状態を概説できる。という項目を作り、そこに症候を列挙することを提案する(近藤)",""
1232.0,"F","診療の基本","F-01","症候・病態からのアプローチ","F-01-01","発熱","F-01-01-na","なし","F-01-01-na-02","発熱をきたす疾患(群)を列挙し、診断の要点を説明できる。","","","","診断","","","臨床推論に主要な症候の病態生理・診断の要点・専門的治療が必要な状態を概説できる。という項目を作り、そこに症候を列挙することを提案する(近藤)",""
1233.0,"F","診療の基本","F-01","症候・病態からのアプローチ","F-01-01","発熱","F-01-01-na","なし","F-01-01-na-03","発熱がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。","","","","治療の要点","","","臨床推論に主要な症候の病態生理・診断の要点・専門的治療が必要な状態を概説できる。という項目を作り、そこに症候を列挙することを提案する(近藤)",""
1234.0,"F","診療の基本","F-01","症候・病態からのアプローチ","F-01-02","全身倦怠感","F-01-02-na","なし","F-01-02-na-01","全身倦怠感の原因と病態生理を説明できる。","","","","病態生理","","","臨床推論に主要な症候の病態生理・診断の要点・専門的治療が必要な状態を概説できる。という項目を作り、そこに症候を列挙することを提案する(近藤)",""
1235.0,"F","診療の基本","F-01","症候・病態からのアプローチ","F-01-02","全身倦怠感","F-01-02-na","なし","F-01-02-na-02","全身倦怠感をきたす疾患(群)を列挙し、診断の要点を説明できる。","","","","診断","","","臨床推論に主要な症候の病態生理・診断の要点・専門的治療が必要な状態を概説できる。という項目を作り、そこに症候を列挙することを提案する(近藤)",""
1236.0,"F","診療の基本","F-01","症候・病態からのアプローチ","F-01-02","全身倦怠感","F-01-02-na","なし","F-01-02-na-03","全身倦怠感がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。","","","","治療の要点","","","臨床推論に主要な症候の病態生理・診断の要点・専門的治療が必要な状態を概説できる。という項目を作り、そこに症候を列挙することを提案する(近藤)",""
1237.0,"F","診療の基本","F-01","症候・病態からのアプローチ","F-01-03","食思(欲)不振","F-01-03-na","なし","F-01-03-na-01","食思(欲)不振の原因と病態生理を説明できる。","","","","病態生理","","","臨床推論に主要な症候の病態生理・診断の要点・専門的治療が必要な状態を概説できる。という項目を作り、そこに症候を列挙することを提案する(近藤)",""
1238.0,"F","診療の基本","F-01","症候・病態からのアプローチ","F-01-03","食思(欲)不振","F-01-03-na","なし","F-01-03-na-02","食思(欲)不振をきたす疾患(群)を列挙し、診断の要点を説明できる。","","","","診断","","","臨床推論に主要な症候の病態生理・診断の要点・専門的治療が必要な状態を概説できる。という項目を作り、そこに症候を列挙することを提案する(近藤)",""
1239.0,"F","診療の基本","F-01","症候・病態からのアプローチ","F-01-03","食思(欲)不振","F-01-03-na","なし","F-01-03-na-03","食思(欲)不振がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。","","","","治療の要点","","","臨床推論に主要な症候の病態生理・診断の要点・専門的治療が必要な状態を概説できる。という項目を作り、そこに症候を列挙することを提案する(近藤)",""
1240.0,"F","診療の基本","F-01","症候・病態からのアプローチ","F-01-04","体重減少・体重増加","F-01-04-na","なし","F-01-04-na-01","体重減少・体重増加の原因と病態生理を説明できる。","","","","病態生理","","","臨床推論に主要な症候の病態生理・診断の要点・専門的治療が必要な状態を概説できる。という項目を作り、そこに症候を列挙することを提案する(近藤)",""
